id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00148_c0	<	Cytosol_0	(gene_1709 or gene_3623 or gene_5)	ATP:pyruvate 2-O-phosphotransferase_c0		-4.92		(1)  cpd00002[c0] + (1)  cpd00020[c0] <= (1)  cpd00008[c0] + (1)  cpd00061[c0] + (1)  cpd00067[c0]	(1)  ATP_c0[c0] + (1)  Pyruvate_c0[c0] <= (1)  ADP_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0] + (1)  H+_c0[c0]	rxn00148	CDC19	R00200	Glycolysis / Gluconeogenesis|Purine metabolism|Pyruvate metabolism|Carbon fixation in photosynthetic organisms	ANAEROBIC-RESPIRATION|ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|ANARESP1-PWY|Biosynthesis|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|NPGLUCAT-PWY|P122-PWY|P124-PWY|P341-PWY|P441-PWY|P461-PWY|Respiration|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS|Xylose-Degradation
rxn00781_c0	=	Cytosol_0	(gene_415 or gene_3769 or gene_3210)	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0		-9.89		(1)  cpd00003[c0] + (1)  cpd00009[c0] + (1)  cpd00102[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00203[c0]	(1)  NAD_c0[c0] + (1)  Phosphate_c0[c0] + (1)  Glyceraldehyde3-phosphate_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  1,3-Bisphospho-D-glycerate_c0[c0]	rxn00781	GAPD	R01061	Glycolysis / Gluconeogenesis|Carbon fixation in photosynthetic organisms	ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Assimilation|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P122-PWY|P124-PWY|P185-PWY|P441-PWY|P461-PWY|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUCSYN-PWY|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS|Xylose-Degradation
rxn05319_c0	=	Cytosol_0	gene_1517	TRANS-RXNBWI-115401.ce.maizeexp.OH_c0		0		(1)  cpd00001[e0] <=> (1)  cpd00001[c0]	(1)  H2O_e0[e0] <=> (1)  H2O_c0[c0]	rxn05319	H2Ot			
rxn00171_c0	=	Cytosol_0	gene_1112	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)_c0		-4.7		(1)  cpd00003[c0] + (1)  cpd00010[c0] + (1)  cpd00071[c0] <=> (1)  cpd00004[c0] + (1)  cpd00022[c0] + (1)  cpd00067[c0]	(1)  NAD_c0[c0] + (1)  CoA_c0[c0] + (1)  Acetaldehyde_c0[c0] <=> (1)  NADH_c0[c0] + (1)  Acetyl-CoA_c0[c0] + (1)  H+_c0[c0]	rxn00171	ACALD	R00228	Benzoate degradation|Pyruvate metabolism|Dioxin degradation|Xylene degradation	2-Aminoethylphosphonate-Degradation|AROMATIC-COMPOUNDS-DEGRADATION|Alcohol-Degradation|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Benzoate-Degradation|Biosynthesis|CARBOXYLATES-DEG|Catechol-Degradation|Degradation|ETOH-ACETYLCOA-ANA-PWY|Energy-Metabolism|Ethanol-Degradation|FERMENTATION-PWY|Fermentation|GLYCINE-SYN|IND-AMINO-ACID-SYN|MANDELATE-DEG|NUCLEO-DEG|Noncarbon-Nutrients|Other-Degradation|P122-PWY|P161-PWY|P441-PWY|P461-PWY|PHOSPHONOTASE-PWY|PWY0-1277|PWY0-1297|PWY0-1298|Phosphorus-Compounds|Pyrimidine-Degradation|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|THREOCAT-PWY|THREONINE-DEG|TOLUENE-DEG|TRYPTOPHAN-DEG
rxn09295_c0	>	Cytosol_0	(gene_3782 or (gene_3289 or gene_1082) or (gene_1082 or gene_3289))	NAD(P) transhydrogenase (periplasm)_c0		0		(1)  cpd00004[c0] + (1)  cpd00006[c0] + (2)  cpd00067[e0] => (1)  cpd00003[c0] + (1)  cpd00005[c0] + (2)  cpd00067[c0]	(1)  NADH_c0[c0] + (1)  NADP_c0[c0] + (2)  H+_e0[e0] => (1)  NAD_c0[c0] + (1)  NADPH_c0[c0] + (2)  H+_c0[c0]	rxn09295	THD2pp			
rxn00549_c0	>	Cytosol_0	(gene_2258 or gene_3697)	D-Fructose-1,6-bisphosphate 1-phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00290[c0] => (1)  cpd00009[c0] + (1)  cpd00072[c0]	(1)  H2O_c0[c0] + (1)  D-fructose-1,6-bisphosphate_c0[c0] => (1)  Phosphate_c0[c0] + (1)  D-fructose-6-phosphate_c0[c0]	rxn00549	FBP	R00762	Methane metabolism|Carbon fixation in photosynthetic organisms	
rxn02380_c0	=	Cytosol_0	(gene_136 or gene_2018 or gene_3308)	beta-D-Glucose 6-phosphate ketol-isomerase_c0		-0.89		(1)  cpd00863[c0] <=> (1)  cpd00072[c0]	(1)  beta-D-Glucose 6-phosphate_c0[c0] <=> (1)  D-fructose-6-phosphate_c0[c0]	rxn02380	G6PI2	R03321	Glycolysis / Gluconeogenesis	ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Oxidation|GDP-Mannose-Biosynthesis|GLUCONEO-PWY|GLYCOGEN-BIOSYN|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P122-PWY|P124-PWY|P341-PWY|Polyamine-Biosynthesis|Polysaccharides-Biosynthesis|RUMP-PWY|SECONDARY-METABOLITE-BIOSYNTHESIS|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUCSYN-PWY|SUGAR-ALCOHOLS-DEG|SUGAR-DERIVS|SUGAR-NUCLEOTIDES|Sorbitol-Biosynthesis|Sugar-Alcohols-Biosynthesis|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS|UDP-Nac-Galactosamine-Biosynthesis
rxn05145_c0	>	Cytosol_0	((gene_1830 or gene_2481 or gene_1528 or gene_2671) or (gene_3591 or gene_2879) or (gene_89 or gene_642) or (gene_2401 or gene_3357) or gene_2312)	phosphate-transporting ATPase_c0	3.A.1.7|TC-3.A.1.7	-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00009[e0] => (1)  cpd00008[c0] + (2)  cpd00009[c0] + (1)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Phosphate_e0[e0] => (1)  ADP_c0[c0] + (2)  Phosphate_c0[c0] + (1)  H+_c0[c0]	rxn05145	PIabc			
rxn00248_c0	=	Cytosol_0	gene_1510	(S)-malate:NAD+ oxidoreductase_c0		6.22		(1)  cpd00003[c0] + (1)  cpd00130[c0] <=> (1)  cpd00004[c0] + (1)  cpd00032[c0] + (1)  cpd00067[c0]	(1)  NAD_c0[c0] + (1)  L-Malate_c0[c0] <=> (1)  NADH_c0[c0] + (1)  Oxaloacetate_c0[c0] + (1)  H+_c0[c0]	rxn00248	MDH	R00342	Citrate cycle (TCA cycle)|Pyruvate metabolism|Glyoxylate and dicarboxylate metabolism|Methane metabolism|Carbon fixation in photosynthetic organisms|Carbon fixation pathways in prokaryotes	ANAEROBIC-RESPIRATION|ANARESP1-PWY|ASPARTATE-DEG|Amino-Acid-Degradation|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|Formaldehyde-Assimilation|GLUCONEO-PWY|GLUTAMATE-DEG|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Gluconeogenesis|MALATE-ASPARTATE-SHUTTLE-PWY|MALATE-OXALOACETATE-SHUTTLE|P105-PWY|P108-PWY|P23-PWY|P42-PWY|Pyruvate-Degradation|Reductive-TCA-Cycles|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS|Transport-Pathways
rxn00499_c0	=	Cytosol_0	gene_3233	(S)-Lactate:NAD+ oxidoreductase_c0		6.22		(1)  cpd00003[c0] + (1)  cpd00159[c0] <=> (1)  cpd00004[c0] + (1)  cpd00020[c0] + (1)  cpd00067[c0]	(1)  NAD_c0[c0] + (1)  L-Lactate_c0[c0] <=> (1)  NADH_c0[c0] + (1)  Pyruvate_c0[c0] + (1)  H+_c0[c0]	rxn00499	LDH_L	R00703	Glycolysis / Gluconeogenesis|Pyruvate metabolism	ANAEROFRUCAT-PWY|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|P122-PWY|P124-PWY|P41-PWY|P461-PWY|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|Xylose-Degradation
rxn00392_c0	=	Cytosol_0	gene_2236	ATP:riboflavin 5'-phosphotransferase_c0		-14.03		(1)  cpd00002[c0] + (1)  cpd00220[c0] <=> (1)  cpd00008[c0] + (1)  cpd00050[c0] + (1)  cpd00067[c0]	(1)  ATP_c0[c0] + (1)  Riboflavin_c0[c0] <=> (1)  ADP_c0[c0] + (1)  FMN_c0[c0] + (1)  H+_c0[c0]	rxn00392	FMN1_1	R00549	Riboflavin metabolism	Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|PWY66-366|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00747_c0	=	Cytosol_0	gene_3793	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0		-1.46		(1)  cpd00102[c0] <=> (1)  cpd00095[c0]	(1)  Glyceraldehyde3-phosphate_c0[c0] <=> (1)  Glycerone-phosphate_c0[c0]	rxn00747	TPI	R01015	Glycolysis / Gluconeogenesis|Fructose and mannose metabolism|Inositol phosphate metabolism|Carbon fixation in photosynthetic organisms	ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|CO2-Fixation|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Assimilation|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P185-PWY|P341-PWY|P441-PWY|P461-PWY|PHOTOALL-PWY|PWY66-373|Photosynthesis|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS
rxn01334_c0	=	Cytosol_0	gene_1355	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0		2.56		(1)  cpd00349[c0] <=> (1)  cpd00095[c0] + (1)  cpd00236[c0]	(1)  Sedoheptulose 1,7-bisphosphate_c0[c0] <=> (1)  Glycerone-phosphate_c0[c0] + (1)  D-Erythrose4-phosphate_c0[c0]	rxn01334	FBA3	R01829	Carbon fixation in photosynthetic organisms	Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|PHOTOALL-PWY|PWY0-1517|Photosynthesis
rxn03884_c0	>	Cytosol_0	gene_1947	2-dehydro-3-deoxy-D-gluconate-6-phosphate D-glyceraldehyde-3-phosphate-lyase_c0		0.75		(1)  cpd02711[c0] => (1)  cpd00020[c0] + (1)  cpd00102[c0]	(1)  2-Keto-3-deoxy-6-phosphogluconate_c0[c0] => (1)  Pyruvate_c0[c0] + (1)  Glyceraldehyde3-phosphate_c0[c0]	rxn03884	EDA	R05605	Pentose phosphate pathway|Pentose and glucuronate interconversions	Carbohydrates-Degradation|Degradation|ENTNER-DOUDOROFF-PWY|Energy-Metabolism|GLYCOLYSIS-E-D|SECONDARY-METABOLITE-DEGRADATION|Sugar-Derivatives|Sugars-And-Polysaccharides
rxn00147_c0	>	Cytosol_0	gene_1663	ATP:pyruvate,water phosphotransferase_c0	2.7.9.2	-21.27		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00020[c0] => (1)  cpd00009[c0] + (1)  cpd00018[c0] + (1)  cpd00061[c0] + (3)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Pyruvate_c0[c0] => (1)  Phosphate_c0[c0] + (1)  AMP_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0] + (3)  H+_c0[c0]	rxn00147	PPS	R00199	Pyruvate metabolism|Methane metabolism|Carbon fixation pathways in prokaryotes	ANAEROFRUCAT-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|CO2-Fixation|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P23-PWY|P441-PWY|P461-PWY|Reductive-TCA-Cycles|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS
rxn00777_c0	=	Cytosol_0	gene_2506	D-ribose-5-phosphate aldose-ketose-isomerase_c0		0.62		(1)  cpd00101[c0] <=> (1)  cpd00171[c0]	(1)  ribose-5-phosphate_c0[c0] <=> (1)  D-Ribulose5-phosphate_c0[c0]	rxn00777		R01056	Pentose phosphate pathway|Carbon fixation in photosynthetic organisms	Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Assimilation|NONOXIPENT-PWY|P124-PWY|P185-PWY|PENTOSE-P-PWY|PHOTOALL-PWY|Pentose-Phosphate-Cycle|Photosynthesis|Sugars-And-Polysaccharides|Xylose-Degradation
rxn02314_c0	=	Cytosol_0	gene_553	ATP:D-tagatose-6-phosphate 1-phosphotransferase_c0	2.7.1.144	-14.03		(1)  cpd00002[c0] + (1)  cpd00805[c0] <=> (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd02371[c0]	(1)  ATP_c0[c0] + (1)  D-Tagatose 6-phosphate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  H+_c0[c0] + (1)  D-Tagatose 1,6-biphosphate_c0[c0]	rxn02314		R03236	Galactose metabolism	Carbohydrates-Degradation|Degradation|GALACTITOLCAT-PWY|GALACTOSE-DEGRADATION|LACTOSE-DEG|LACTOSECAT-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides
rxn00251_c0	=	Cytosol_0	gene_3746	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)_c0		-3		(1)  cpd00009[c0] + (1)  cpd00032[c0] + (1)  cpd00067[c0] <=> (1)  cpd00001[c0] + (1)  cpd00011[c0] + (1)  cpd00061[c0]	(1)  Phosphate_c0[c0] + (1)  Oxaloacetate_c0[c0] + (1)  H+_c0[c0] <=> (1)  H2O_c0[c0] + (1)  CO2_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0]	rxn00251	PPC	R00345	Pyruvate metabolism|Methane metabolism|Carbon fixation in photosynthetic organisms|Carbon fixation pathways in prokaryotes	
rxn00285_c0	=	Cytosol_0	(gene_1120 and gene_143)	Succinate:CoA ligase (ADP-forming)_c0		-1.06		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00036[c0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00078[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  Succinate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  Succinyl-CoA_c0[c0]	rxn00285	SUCOAS	R00405	Citrate cycle (TCA cycle)|Propanoate metabolism|Carbon fixation pathways in prokaryotes	Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CO2-Fixation|Degradation|Energy-Metabolism|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|P23-PWY|P42-PWY|Pyruvate-Degradation|Reductive-TCA-Cycles|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn04794_c0	=	Cytosol_0	(gene_3715 or gene_2143)	propanoyl-CoA:formate C-propanoyltransferase_c0		-5.05		(1)  cpd00010[c0] + (1)  cpd00094[c0] <=> (1)  cpd00047[c0] + (1)  cpd00086[c0]	(1)  CoA_c0[c0] + (1)  2-Oxobutyrate_c0[c0] <=> (1)  Formate_c0[c0] + (1)  Propionyl-CoA_c0[c0]	rxn04794	OBTFL	R06987	Propanoate metabolism	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|THREOCAT-PWY|THREONINE-DEG
rxn01871_c0	<	Cytosol_0	gene_2768	acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase_c0		0		(1)  cpd00022[c0] + (1)  cpd00449[c0] <= (1)  cpd00010[c0] + (1)  cpd00836[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  Dihydrolipoamide_c0[c0] <= (1)  CoA_c0[c0] + (1)  S-Acetyldihydrolipoamide_c0[c0]	rxn01871		R02569	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism	
rxn00786_c0	=	Cytosol_0	gene_1355	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)_c0		4.31		(1)  cpd00290[c0] <=> (1)  cpd00095[c0] + (1)  cpd00102[c0]	(1)  D-fructose-1,6-bisphosphate_c0[c0] <=> (1)  Glycerone-phosphate_c0[c0] + (1)  Glyceraldehyde3-phosphate_c0[c0]	rxn00786	FBA	R01068	Methane metabolism|Carbon fixation in photosynthetic organisms	
rxn01100_c0	=	Cytosol_0	gene_2775	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0		-6.9		(1)  cpd00002[c0] + (1)  cpd00169[c0] <=> (1)  cpd00008[c0] + (1)  cpd00203[c0]	(1)  ATP_c0[c0] + (1)  3-Phosphoglycerate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  1,3-Bisphospho-D-glycerate_c0[c0]	rxn01100	PGK	R01512	Glycolysis / Gluconeogenesis|Carbon fixation in photosynthetic organisms	ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|CO2-Fixation|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Assimilation|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P122-PWY|P124-PWY|P185-PWY|P441-PWY|P461-PWY|PHOTOALL-PWY|Photosynthesis|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUCSYN-PWY|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS|Xylose-Degradation
rxn00102_c0	=	Cytosol_0	(gene_932 or gene_946)	carbonate hydro-lyase (carbon-dioxide-forming)_c0		0.84		(1)  cpd00067[c0] + (1)  cpd00242[c0] <=> (1)  cpd00001[c0] + (1)  cpd00011[c0]	(1)  H+_c0[c0] + (1)  H2CO3_c0[c0] <=> (1)  H2O_c0[c0] + (1)  CO2_c0[c0]	rxn00102	H2CO3D	R00132	Nitrogen metabolism	Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|CYANCAT-PWY|Carbohydrates-Biosynthesis|Degradation|Detoxification|Gluconeogenesis|NITROGEN-DEG|Noncarbon-Nutrients|PWYQT-4429
